term,estimate,std.error,statistic,p.value,data,time_secs,estimator,n,n_clus,seed
x,0.5667450553640885,0.20995729516796313,7.286408928266721,0.00694782188621678,raw data,0.13590598106384277,GEE,500,5,2
(Intercept),-1.2532477879292188,0.3922298048615889,10.209223458438483,0.00139740001040378,aggregated data,0.00648999214172363,GEE,500,5,2
x,0.5818870295192397,0.18252018057515876,10.163787440513431,0.0014322608310695,aggregated data,0.00648999214172363,GEE,500,5,2
x,0.6686699954814183,0.22447454162840075,2.978823302770551,0.00289357588919502,raw data,NA,GLM,500,5,2
x,0.6686699955619699,0.2244754127137661,2.9788117436924235,0.00289368504301952,aggregated data,NA,GLM,500,5,2
(Intercept),-1.4432541414868152,0.4174265571603123,11.954336401493812,5.45203419341278e-4,raw data,0.13777709007263184,GEE,500,5,3
x,0.22731635073013717,0.265822165383163,0.73127203883124,0.39247118170607265,raw data,0.13777709007263184,GEE,500,5,3
(Intercept),-1.448377106791403,0.454678793361269,10.147379571100574,0.00144506508771924,aggregated data,0.0090951919555664,GEE,500,5,3
x,0.24309171889706613,0.2959801816054862,0.6745514255266147,0.4114692591369531,aggregated data,0.0090951919555664,GEE,500,5,3
x,0.24353092071257873,0.2314984909587615,1.0519762772706829,0.2928104337278607,raw data,NA,GLM,500,5,3
x,0.24353092072511057,0.23149923091033417,1.0519729148449593,0.29281197644621737,aggregated data,NA,GLM,500,5,3
(Intercept),-0.8457032502099135,0.42199644788250507,4.016228453798745,0.04506438260697065,raw data,0.1503739356994629,GEE,500,5,4
x,0.4348486278148889,0.15499594649618917,7.871101756539517,0.00502310388345883,raw data,0.1503739356994629,GEE,500,5,4
(Intercept),-0.04257572872912291,0.478863113615382,0.0079049915525435,0.929153420747866,aggregated data,0.00780510902404785,GEE,500,5,4
x,0.3762456705069088,0.0704770459816233,28.5001822587494,9.368966824574444e-8,aggregated data,0.00780510902404785,GEE,500,5,4
x,0.514045992574831,0.20820194506635376,2.4689778590253084,0.01354996020080213,raw data,NA,GLM,500,5,4
x,0.5140459925751244,0.20820199724038377,2.468977240317356,0.01354998362845176,aggregated data,NA,GLM,500,5,4
(Intercept),-0.9246886114444473,0.43465033882627985,4.525962723047099,0.03338428747209376,raw data,0.15367794036865234,GEE,500,5,5
x,0.2187778631210253,0.13941215028566648,2.462665921602307,0.11658076592707813,raw data,0.15367794036865234,GEE,500,5,5
(Intercept),-11191665307004484,613846278627141.1,332.40700938225064,0,aggregated data,0.0095529556274414,GEE,500,5,5
x,1915352463945076.5,93532820649739.23,419.3429504089193,0,aggregated data,0.0095529556274414,GEE,500,5,5
x,0.29134506099293767,0.22597018423314208,1.2893075340078752,0.19729119280126609,raw data,NA,GLM,500,5,5
x,0.29134506099279317,0.2259701489386456,1.2893077353854283,0.19729112281961508,aggregated data,NA,GLM,500,5,5
(Intercept),-0.9418018443516852,0.3755805582402443,6.288004834840364,0.0121557811277897,raw data,0.1485800743103027,GEE,500,5,6
x,0.29553604987130644,0.1377778598645445,4.601104102899601,0.03195137276096993,raw data,0.1485800743103027,GEE,500,5,6
(Intercept),-1.0920616950888111,0.4000179833626348,7.453071990205247,0.00633282741830831,aggregated data,0.00710010528564453,GEE,500,5,6
x,0.33799885696302795,0.1481679864751776,5.203813279102615,0.02253739470522953,aggregated data,0.00710010528564453,GEE,500,5,6
x,0.333699191092203,0.209782027268953,1.5906948533030467,0.11167826576065765,raw data,NA,GLM,500,5,6
x,0.3336991910924869,0.20978210816929088,1.5906942398690973,0.1116784038811826,aggregated data,NA,GLM,500,5,6
(Intercept),-1.1754774224132174,0.5239287212862478,5.033663394279275,0.02485926248917314,raw data,0.18227386474609375,GEE,500,5,7
x,0.03910980178426428,0.17113825943831842,0.05222482680368233,0.8192361652300826,raw data,0.18227386474609375,GEE,500,5,7
(Intercept),-1.6539582655369434,0.7490963662172854,4.874989816316613,0.02724860167384346,aggregated data,0.01079392433166503,GEE,500,5,7
x,0.15584871215628762,0.16807698703986446,0.8597851250033389,0.353798829797472,aggregated data,0.01079392433166503,GEE,500,5,7
x,0.05241793548060285,0.25771723745467134,0.2033932072154172,0.8388277087083867,raw data,NA,GLM,500,5,7
x,0.05241793548078079,0.2577174553475143,0.20339303525288505,0.83882784310576,aggregated data,NA,GLM,500,5,7
(Intercept),-1.4255556156188876,0.212277553261812,45.09830131830296,1.873878829883324e-11,raw data,0.1810309886932373,GEE,500,5,8
x,0.48202985546693494,0.12651990657987008,14.515438189555043,1.390156192554448e-4,raw data,0.1810309886932373,GEE,500,5,8
(Intercept),-1.394810487436471,0.20930718854760455,44.40809259131992,2.665823117808941e-11,aggregated data,0.01204895973205566,GEE,500,5,8
x,0.4953519304319214,0.12408208927629535,15.93710833097964,6.548223474611703e-5,aggregated data,0.01204895973205566,GEE,500,5,8
x,0.5036542630424109,0.2198185691204339,2.2912271017762356,0.02195028226190774,raw data,NA,GLM,500,5,8
x,0.5036542636725043,0.2198214154851055,2.2911974366147714,0.02195199716257482,aggregated data,NA,GLM,500,5,8
(Intercept),-1.6408640656705231,0.1722286251663545,90.76837048292336,0,raw data,0.17706894874572754,GEE,500,5,9
x,0.43965856785139024,0.04302391264009653,104.42663307413343,0,raw data,0.17706894874572754,GEE,500,5,9
(Intercept),-1.6742891579285215,0.18142093788602465,85.16989548150545,0,aggregated data,0.01479601860046386,GEE,500,5,9
x,0.4397616195881569,0.04540440656739986,93.80773265369376,0,aggregated data,0.01479601860046386,GEE,500,5,9
x,0.4568029962706141,0.23093358764614863,1.978070842473366,0.04792071534391757,raw data,NA,GLM,500,5,9
x,0.4568029963560039,0.23093478850800123,1.9780605568665848,0.04792187553208973,aggregated data,NA,GLM,500,5,9
(Intercept),-1.3531573791970961,0.3316609710368269,16.645923124010256,4.504702453078657e-5,raw data,0.19932985305786133,GEE,500,5,10
x,-0.11054761003746837,0.30653097659165085,0.13006186525092936,0.7183679035334822,raw data,0.19932985305786133,GEE,500,5,10
(Intercept),-1.399114472626131,0.3308581675902616,17.88227534662309,2.3499961752437848e-5,aggregated data,0.01030397415161132,GEE,500,5,10
x,-0.07661192389258555,0.303484783161666,0.06372632829728066,0.8007004119156746,aggregated data,0.01030397415161132,GEE,500,5,10
x,-0.13429068571799543,0.23309780279515213,-0.5761130482899102,0.5645387723891568,raw data,NA,GLM,500,5,10
x,-0.13429068581959616,0.23310012373550656,-0.5761073124610296,0.5645426491092049,aggregated data,NA,GLM,500,5,10
(Intercept),-1.5402274773681623,0.409731748680662,14.130922003225466,1.7051758962161043e-4,raw data,0.18718600273132324,GEE,500,5,11
x,0.23549965472299225,0.2479439640515965,0.9021390225172936,0.34220880740513415,raw data,0.18718600273132324,GEE,500,5,11
(Intercept),-1.5907875366308175,0.446096111154576,12.716496759152268,3.6244408830243824e-4,aggregated data,0.01181006431579589,GEE,500,5,11
x,0.2851587651837743,0.2623019073222708,1.181872299161212,0.27697516204976547,aggregated data,0.01181006431579589,GEE,500,5,11
x,0.28407792877952537,0.2578357314063025,1.1017787458320505,0.2705578727003419,raw data,NA,GLM,500,5,11
x,0.28407792910689483,0.2578397361542994,1.1017616343545034,0.2705653137305746,aggregated data,NA,GLM,500,5,11
(Intercept),-1.523629626447547,0.6162133294220363,6.1135946568695205,0.01341460278202766,raw data,0.22893190383911133,GEE,500,5,12
x,0.01619235064616319,0.0853128954416612,0.03602387577496869,0.8494661949201929,raw data,0.22893190383911133,GEE,500,5,12
(Intercept),-1590856297924603,967025497763413,2.706363031634178,0.0999486252531141,aggregated data,0.01618313789367675,GEE,500,5,12
x,1465503681060304,97954661867624.52,223.83273824789867,0,aggregated data,0.01618313789367675,GEE,500,5,12
x,0.02203603683144205,0.28049365254070585,0.07856162387932875,0.937381312862784,raw data,NA,GLM,500,5,12
x,0.02203603683214932,0.28049425227193875,0.07856145590742951,0.9373814464720196,aggregated data,NA,GLM,500,5,12
(Intercept),-0.38568553054064936,0.3873018103791147,0.9916710571312424,0.3193342962367217,raw data,0.18042397499084473,GEE,500,5,13
x,0.00911421545308011,0.19953283042379605,0.00208645900069334,0.963567079415356,raw data,0.18042397499084473,GEE,500,5,13
(Intercept),-0.3751779555045315,0.37571287162545297,0.9971545540677824,0.31800000343823454,aggregated data,0.01100397109985351,GEE,500,5,13
x,0.00524226224518926,0.1941036671539356,7.294071306914322e-4,0.9784537214481565,aggregated data,0.01100397109985351,GEE,500,5,13
x,0.01095008049041783,0.1977638753018681,0.05536946762245409,0.9558441198166796,raw data,NA,GLM,500,5,13
x,0.01095008049042861,0.19776390378899147,0.05536945964675154,0.9558441261706224,aggregated data,NA,GLM,500,5,13
(Intercept),-0.17626081018931566,0.4289227361732514,0.16887034418800623,0.681117726004434,raw data,0.1849520206451416,GEE,500,5,14
x,0.14073923992888426,0.16123184765419582,0.7619539780923444,0.38271772115184666,raw data,0.1849520206451416,GEE,500,5,14
(Intercept),-0.40486212693897433,0.451945587762522,0.8024943862052505,0.3703486339237486,aggregated data,0.01290512084960937,GEE,500,5,14
x,0.13648368003286715,0.1589934088455922,0.7368909219243215,0.3906586505220409,aggregated data,0.01290512084960937,GEE,500,5,14
x,0.19247746532848845,0.2111723691716247,0.9114708807952876,0.3620473216200259,raw data,NA,GLM,500,5,14
x,0.19247746534442323,0.21117310179447207,0.9114677187047966,0.36204898700091903,aggregated data,NA,GLM,500,5,14
(Intercept),-0.5967184819459659,0.3471289897541015,2.954998126214035,0.0856124056344506,raw data,0.2603111267089844,GEE,500,5,15
x,0.22010796505736588,0.2189757248214884,1.010367975068824,0.3148146997195501,raw data,0.2603111267089844,GEE,500,5,15
(Intercept),-0.605727823601925,0.33238367138043573,3.321052071292741,0.06839804571890529,aggregated data,0.01069903373718261,GEE,500,5,15
x,0.2255841669402561,0.2136583927926352,1.1147495734354207,0.29105182212478065,aggregated data,0.01069903373718261,GEE,500,5,15
x,0.2551477301260407,0.1995578524349911,1.2785652231307651,0.20105020302624568,raw data,NA,GLM,500,5,15
x,0.2551477301264531,0.19955790334703397,1.2785648969399506,0.20105031795666223,aggregated data,NA,GLM,500,5,15
(Intercept),-0.8955688052895822,0.35066256524038975,6.522575342490071,0.01065136559001911,raw data,0.1907200813293457,GEE,500,5,16
x,0.3692650175347068,0.1928526001768727,3.666277517802449,0.05552406204775861,raw data,0.1907200813293457,GEE,500,5,16
(Intercept),-1.000681647972537,0.36177001470474907,7.6511503311261935,0.00567361317124326,aggregated data,0.00734210014343261,GEE,500,5,16
x,0.405234739561868,0.1966399343166463,4.2468790947509865,0.03932253077965764,aggregated data,0.00734210014343261,GEE,500,5,16
x,0.4265527897119483,0.2078136073692344,2.052573915210795,0.04011391954665425,raw data,NA,GLM,500,5,16
x,0.4265527897119016,0.20781359761220863,2.052574011580667,0.04011391019201561,aggregated data,NA,GLM,500,5,16
(Intercept),-1.61213327770224,0.3733201551427534,18.648289828881047,1.5718820502330644e-5,raw data,0.1886739730834961,GEE,500,5,17
x,0.29198978809237347,0.30929783849670095,0.8912130882232651,0.34514878412965866,raw data,0.1886739730834961,GEE,500,5,17
(Intercept),-1.5330277876969167,0.3968842899983781,14.92011728444279,1.1216054441909318e-4,aggregated data,0.01076292991638183,GEE,500,5,17
x,0.19698359660433412,0.3433012955246301,0.32923745863691223,0.5661084453988872,aggregated data,0.01076292991638183,GEE,500,5,17
